epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.773,3.87364,7.38133,1.74089,0,0,0,0,3.14665,6.48862,1.27168,0.000322581,0.000322581,0.000322581
2,319.816,3.06985,4.99601,1.19801,0.00036,0.04094,0.00369,0.00129,2.99283,5.39537,1.2283,0.00064942,0.00064942,0.00064942
3,521.716,2.77273,4.01698,1.08527,0.19608,0.10124,0.07711,0.02343,2.86836,4.30509,1.19939,0.00096966,0.00096966,0.00096966
4,697.641,2.5835,3.57404,1.05594,0.24538,0.1824,0.16333,0.05228,2.95732,3.7736,1.30552,0.0009703,0.0009703,0.0009703
5,869.937,2.51878,3.22037,0.99905,0.39852,0.27721,0.27423,0.11348,2.44095,3.16013,1.06721,0.0009604,0.0009604,0.0009604
6,1056.21,2.39543,2.84302,0.98369,0.39462,0.41935,0.37283,0.14533,2.33723,2.77379,1.02539,0.0009505,0.0009505,0.0009505
7,1282.22,2.30789,2.54572,0.97134,0.52328,0.45282,0.44745,0.17197,2.36321,2.59787,1.03671,0.0009406,0.0009406,0.0009406
8,1511.47,2.31489,2.44366,0.95571,0.64279,0.47843,0.50649,0.23276,2.16032,2.2851,0.99265,0.0009307,0.0009307,0.0009307
9,1724.6,2.25346,2.30434,0.956,0.63157,0.4956,0.51994,0.20767,2.30558,2.31224,1.0308,0.0009208,0.0009208,0.0009208
10,1876.85,2.19274,2.07464,0.94154,0.61017,0.52803,0.54799,0.24653,2.09313,2.15925,0.97785,0.0009109,0.0009109,0.0009109
11,2039,2.23581,2.06297,0.94185,0.72347,0.514,0.56317,0.26264,2.05912,2.18491,0.97889,0.000901,0.000901,0.000901
12,2213.74,2.17593,1.98284,0.93171,0.75059,0.55558,0.61246,0.25968,2.14275,1.98045,0.97451,0.0008911,0.0008911,0.0008911
13,2380.14,2.20422,1.93623,0.9344,0.65492,0.54769,0.54527,0.23971,2.13189,2.05566,0.97133,0.0008812,0.0008812,0.0008812
14,2577.08,2.20814,1.84158,0.95374,0.72037,0.62358,0.65864,0.30537,2.04248,1.80312,0.95458,0.0008713,0.0008713,0.0008713
15,2730.42,2.10876,1.78358,0.9208,0.77076,0.57381,0.65573,0.27456,2.13419,1.78271,0.96518,0.0008614,0.0008614,0.0008614
16,2997.27,2.12519,1.71052,0.91834,0.74954,0.61412,0.70755,0.31323,2.02852,1.6102,0.94673,0.0008515,0.0008515,0.0008515
17,3237.21,2.08462,1.65617,0.9217,0.73783,0.61194,0.68343,0.29782,2.08671,1.73053,0.95504,0.0008416,0.0008416,0.0008416
18,3437.68,2.04053,1.59333,0.90789,0.89188,0.57215,0.71352,0.31366,2.03211,1.59894,0.94312,0.0008317,0.0008317,0.0008317
19,3592.63,2.00033,1.5123,0.90624,0.81711,0.65416,0.73447,0.3331,2.06195,1.58958,0.95259,0.0008218,0.0008218,0.0008218
20,3753.18,1.98739,1.5038,0.91409,0.83233,0.67062,0.74108,0.3537,1.96003,1.47983,0.94392,0.0008119,0.0008119,0.0008119
21,3917.79,2.01682,1.46138,0.89893,0.81292,0.63708,0.72492,0.32103,2.00553,1.51192,0.94072,0.000802,0.000802,0.000802
22,4109.51,2.00937,1.42523,0.89699,0.84298,0.68393,0.76633,0.3639,1.90333,1.35304,0.92389,0.0007921,0.0007921,0.0007921
23,4307.67,1.94003,1.37228,0.89082,0.81567,0.68883,0.76884,0.35133,1.95943,1.44443,0.9391,0.0007822,0.0007822,0.0007822
24,4586.44,1.97223,1.40523,0.89476,0.80028,0.70689,0.74925,0.35746,1.93247,1.37906,0.9254,0.0007723,0.0007723,0.0007723
25,4857.39,1.94253,1.37839,0.89292,0.81015,0.7361,0.7851,0.3674,1.88336,1.26681,0.92829,0.0007624,0.0007624,0.0007624
26,5118.61,1.97527,1.3263,0.89512,0.86838,0.66626,0.76284,0.34126,1.97901,1.31064,0.93571,0.0007525,0.0007525,0.0007525
27,5346.27,1.98163,1.34848,0.90515,0.89315,0.71881,0.79025,0.36751,1.93415,1.25029,0.92856,0.0007426,0.0007426,0.0007426
28,5578.2,1.89614,1.26067,0.89394,0.86339,0.75468,0.81105,0.37063,1.91498,1.23796,0.92408,0.0007327,0.0007327,0.0007327
29,5844.05,1.91842,1.23003,0.89376,0.86311,0.7333,0.81205,0.37053,1.9182,1.26403,0.91288,0.0007228,0.0007228,0.0007228
30,6117.44,1.88487,1.22625,0.88647,0.90645,0.76216,0.82736,0.38325,1.88086,1.21443,0.91523,0.0007129,0.0007129,0.0007129
31,6355.39,1.97847,1.28795,0.88683,0.84883,0.69578,0.76693,0.32927,2.05791,1.33945,0.93928,0.000703,0.000703,0.000703
32,6504.27,1.85515,1.18265,0.87302,0.82795,0.73122,0.77906,0.33462,2.04343,1.25969,0.93819,0.0006931,0.0006931,0.0006931
33,6682.55,1.86197,1.17968,0.88373,0.88222,0.73811,0.81193,0.38084,1.9411,1.19853,0.91815,0.0006832,0.0006832,0.0006832
34,6903.79,1.93229,1.22422,0.87829,0.80778,0.74961,0.80407,0.38348,1.88719,1.21214,0.90823,0.0006733,0.0006733,0.0006733
35,7109.1,1.90187,1.17534,0.86884,0.84044,0.73837,0.81446,0.40481,1.87284,1.1993,0.91109,0.0006634,0.0006634,0.0006634
36,7319.87,1.82898,1.12777,0.87907,0.90457,0.76777,0.83485,0.40631,1.85322,1.06461,0.90782,0.0006535,0.0006535,0.0006535
37,7542,1.82898,1.11897,0.86863,0.85285,0.75113,0.81747,0.38659,1.91115,1.16069,0.9131,0.0006436,0.0006436,0.0006436
38,7817.76,1.82446,1.09358,0.86639,0.88741,0.76346,0.831,0.38673,1.88284,1.08436,0.91803,0.0006337,0.0006337,0.0006337
39,8085.39,1.84511,1.12137,0.85892,0.87732,0.78688,0.84226,0.40322,1.83222,1.08555,0.90249,0.0006238,0.0006238,0.0006238
40,8482.17,1.83025,1.08989,0.87732,0.89416,0.73641,0.80598,0.35643,1.98623,1.18936,0.92951,0.0006139,0.0006139,0.0006139
41,8928.59,1.83732,1.08234,0.86606,0.9147,0.76022,0.82769,0.39308,1.85117,1.13589,0.90173,0.000604,0.000604,0.000604
42,9262.34,1.80559,1.04128,0.85985,0.90161,0.80462,0.85323,0.40511,1.82983,1.06409,0.89943,0.0005941,0.0005941,0.0005941
43,9568.3,1.75458,1.02875,0.85548,0.93516,0.75642,0.84153,0.40976,1.83052,1.07561,0.90193,0.0005842,0.0005842,0.0005842
44,9863.51,1.81721,1.04021,0.87469,0.92998,0.7696,0.85169,0.42843,1.77324,1.04547,0.89423,0.0005743,0.0005743,0.0005743
45,10270.9,1.79792,1.03116,0.86314,0.95074,0.76452,0.85557,0.40958,1.82305,1.04351,0.89533,0.0005644,0.0005644,0.0005644
46,10675.1,1.79638,1.05089,0.8493,0.88709,0.75947,0.8229,0.39152,1.85122,1.08398,0.90149,0.0005545,0.0005545,0.0005545
47,11069.9,1.76935,1.00923,0.85607,0.91382,0.80126,0.858,0.42037,1.79539,1.00423,0.895,0.0005446,0.0005446,0.0005446
48,11318.8,1.82232,1.07054,0.85824,0.92458,0.79181,0.86282,0.41155,1.81717,1.02323,0.89857,0.0005347,0.0005347,0.0005347
49,11499.3,1.76212,1.0165,0.86799,0.89636,0.8012,0.86068,0.39898,1.89598,1.06061,0.90937,0.0005248,0.0005248,0.0005248
50,11679.6,1.82511,1.03737,0.85861,0.89684,0.77512,0.85142,0.39719,1.87907,1.0948,0.9037,0.0005149,0.0005149,0.0005149
51,11858.4,1.70829,0.97967,0.85728,0.93125,0.77851,0.85193,0.42134,1.79721,1.00483,0.90216,0.000505,0.000505,0.000505
52,12045.6,1.77694,1.04693,0.85815,0.93905,0.7813,0.86725,0.42798,1.77146,1.0108,0.89399,0.0004951,0.0004951,0.0004951
53,12230.4,1.71968,0.98361,0.84765,0.88076,0.79196,0.84623,0.40792,1.82958,1.05198,0.89614,0.0004852,0.0004852,0.0004852
54,12418.1,1.7444,0.97063,0.85536,0.90684,0.78972,0.84651,0.41585,1.83428,1.0772,0.89961,0.0004753,0.0004753,0.0004753
55,12604.2,1.73551,0.95392,0.85994,0.89674,0.80036,0.85136,0.41768,1.84272,1.03724,0.90342,0.0004654,0.0004654,0.0004654
56,12789.2,1.77681,0.9835,0.85442,0.90277,0.79764,0.8524,0.41149,1.83521,1.01631,0.89938,0.0004555,0.0004555,0.0004555
57,12975,1.77435,1.00103,0.84582,0.93419,0.80329,0.87859,0.43009,1.78664,0.99396,0.8905,0.0004456,0.0004456,0.0004456
