epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.286,3.92154,7.29253,1.7805,0,0,0,0,3.16827,6.3054,1.26852,0.000322581,0.000322581,0.000322581
2,694.432,3.08775,5.15144,1.1921,0.00017,0.01088,0.00334,0.00117,2.79893,5.36649,1.161,0.000642927,0.000642927,0.000642927
3,1103.02,2.80447,4.2057,1.11705,0.29939,0.08873,0.10154,0.03846,2.63166,4.4561,1.11613,0.000950073,0.000950073,0.000950073
4,1439.23,2.71247,3.6757,1.0663,0.39392,0.21731,0.19744,0.07215,2.61647,3.55572,1.13189,0.0009406,0.0009406,0.0009406
5,1775.45,2.54425,3.25271,1.02675,0.36344,0.3018,0.2836,0.11584,2.49855,3.23361,1.07243,0.0009208,0.0009208,0.0009208
6,2114.44,2.43671,2.897,1.01349,0.4337,0.29816,0.32308,0.13818,2.32709,3.06088,1.02047,0.000901,0.000901,0.000901
7,2453.68,2.38136,2.73584,0.98326,0.50468,0.38147,0.40455,0.17727,2.2793,2.58334,1.01756,0.0008812,0.0008812,0.0008812
8,2791.34,2.31616,2.50186,0.96637,0.56087,0.46466,0.45941,0.20171,2.2075,2.39763,0.9917,0.0008614,0.0008614,0.0008614
9,3127.82,2.30199,2.37264,0.9706,0.58783,0.44398,0.47531,0.19709,2.19789,2.32498,0.99456,0.0008416,0.0008416,0.0008416
10,3464.38,2.18899,2.17657,0.96069,0.58401,0.50361,0.4951,0.2105,2.18529,2.13701,0.97759,0.0008218,0.0008218,0.0008218
11,3800.29,2.27901,2.19181,0.96009,0.6197,0.48769,0.51811,0.19341,2.33467,2.22671,1.00336,0.000802,0.000802,0.000802
12,4137.8,2.24674,2.03965,0.9643,0.64199,0.49296,0.51233,0.17808,2.44129,2.17647,1.01946,0.0007822,0.0007822,0.0007822
13,4483.04,2.16474,1.93974,0.93892,0.6895,0.52453,0.58793,0.26465,2.07002,2.01634,0.96625,0.0007624,0.0007624,0.0007624
14,4838.82,2.11337,1.826,0.93165,0.76837,0.57646,0.65164,0.30881,1.97741,1.89303,0.94445,0.0007426,0.0007426,0.0007426
15,5175.21,2.08323,1.75114,0.92374,0.7207,0.56663,0.66073,0.30119,2.01182,1.76353,0.95294,0.0007228,0.0007228,0.0007228
16,5512.73,2.04578,1.66547,0.92041,0.7731,0.59903,0.67464,0.28577,2.07289,1.75132,0.95817,0.000703,0.000703,0.000703
17,5858.48,2.01815,1.66237,0.9219,0.75072,0.64955,0.70012,0.30869,2.04787,1.67285,0.95244,0.0006832,0.0006832,0.0006832
18,6200.22,2.04049,1.626,0.91458,0.76203,0.61413,0.6866,0.31103,2.00923,1.67128,0.95031,0.0006634,0.0006634,0.0006634
19,6540.06,2.02969,1.62715,0.91931,0.81839,0.62301,0.71882,0.32401,1.99848,1.55009,0.9466,0.0006436,0.0006436,0.0006436
20,6880.36,2.0372,1.53406,0.90712,0.79526,0.65137,0.70512,0.32085,1.98276,1.57624,0.94837,0.0006238,0.0006238,0.0006238
21,7216.04,2.02994,1.51121,0.89652,0.8773,0.62827,0.73608,0.34053,1.98891,1.46288,0.94735,0.000604,0.000604,0.000604
22,7556.66,2.03474,1.46716,0.91025,0.81732,0.65936,0.74607,0.32325,1.97003,1.50657,0.93757,0.0005842,0.0005842,0.0005842
23,7895,1.98277,1.44879,0.90378,0.73283,0.67818,0.72609,0.32971,1.96865,1.48619,0.94204,0.0005644,0.0005644,0.0005644
24,8230.85,1.95838,1.39543,0.89413,0.8206,0.67847,0.75276,0.34845,1.94819,1.41237,0.93378,0.0005446,0.0005446,0.0005446
25,8576.47,1.91533,1.33591,0.89661,0.82146,0.6574,0.75776,0.34912,1.94789,1.40934,0.93599,0.0005248,0.0005248,0.0005248
26,8913.67,1.98393,1.38931,0.88952,0.86196,0.70943,0.78395,0.34591,1.97541,1.34445,0.93342,0.000505,0.000505,0.000505
27,9252.58,1.95509,1.37026,0.88313,0.82096,0.70313,0.77519,0.36063,1.90991,1.33075,0.92751,0.0004852,0.0004852,0.0004852
28,9597.84,1.90305,1.30618,0.89461,0.84898,0.72845,0.79918,0.38307,1.90276,1.27822,0.92911,0.0004654,0.0004654,0.0004654
29,9940.78,1.89816,1.2886,0.87704,0.82523,0.70948,0.78394,0.37044,1.93348,1.305,0.92924,0.0004456,0.0004456,0.0004456
30,10279,1.93956,1.30973,0.89033,0.79288,0.73766,0.79009,0.37007,1.90475,1.27492,0.92167,0.0004258,0.0004258,0.0004258
