epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.736,3.84282,7.42692,1.7327,0,0,0,0,3.30346,6.67072,1.33011,0.000322581,0.000322581,0.000322581
2,385.549,3.07884,5.07938,1.21324,0.00019,0.02451,0.01,0.00297,3.09562,5.43777,1.25679,0.00064942,0.00064942,0.00064942
3,569.483,2.89173,4.29616,1.13939,0.41759,0.05889,0.12102,0.03959,2.79331,4.41754,1.16691,0.00096966,0.00096966,0.00096966
4,759.267,2.70725,3.68792,1.06518,0.27334,0.21219,0.18572,0.07156,2.5402,3.66731,1.09701,0.0009703,0.0009703,0.0009703
5,945.882,2.51971,3.23652,1.03325,0.42298,0.30096,0.28375,0.11147,2.38601,3.22682,1.04984,0.0009604,0.0009604,0.0009604
6,1137.32,2.4278,2.90693,1.01265,0.37438,0.37346,0.34589,0.1438,2.30911,3.01977,1.042,0.0009505,0.0009505,0.0009505
7,1311.25,2.41846,2.65288,0.9781,0.54108,0.38431,0.41912,0.17509,2.31707,2.65273,1.02399,0.0009406,0.0009406,0.0009406
8,1484.89,2.29916,2.47219,0.96826,0.58145,0.41881,0.46955,0.20371,2.21776,2.48781,0.99498,0.0009307,0.0009307,0.0009307
9,1651.85,2.3009,2.40519,0.9655,0.64543,0.39408,0.46388,0.18719,2.26449,2.66364,1.00965,0.0009208,0.0009208,0.0009208
10,1820.23,2.19798,2.10891,0.94892,0.69264,0.51705,0.562,0.25888,2.09982,2.15328,0.97819,0.0009109,0.0009109,0.0009109
11,1998.73,2.2294,2.08914,0.96053,0.71277,0.48206,0.55986,0.21265,2.31514,2.11864,1.02043,0.000901,0.000901,0.000901
12,2190.09,2.2114,2.02074,0.94267,0.682,0.56874,0.62188,0.2845,2.07316,1.95824,0.96381,0.0008911,0.0008911,0.0008911
13,2367.91,2.14238,1.89668,0.93995,0.77879,0.55663,0.61184,0.27648,2.08144,1.86862,0.97889,0.0008812,0.0008812,0.0008812
14,2539.26,2.15059,1.83817,0.93563,0.70116,0.58614,0.63184,0.2892,2.08531,1.89957,0.9661,0.0008713,0.0008713,0.0008713
15,2714.81,2.05542,1.72214,0.92523,0.76013,0.55257,0.64688,0.29311,2.07148,1.86858,0.96864,0.0008614,0.0008614,0.0008614
16,2891.83,2.1076,1.67676,0.9238,0.77898,0.59577,0.67038,0.31849,2.00875,1.76157,0.9548,0.0008515,0.0008515,0.0008515
17,3067.05,2.10359,1.67449,0.92471,0.77192,0.635,0.70012,0.31777,2.01723,1.63754,0.95444,0.0008416,0.0008416,0.0008416
18,3246.18,2.05326,1.63269,0.91382,0.7104,0.59873,0.6577,0.28756,2.06,1.78103,0.9627,0.0008317,0.0008317,0.0008317
19,3422.03,2.01742,1.55351,0.92109,0.78087,0.65522,0.72545,0.34958,1.94244,1.48243,0.93369,0.0008218,0.0008218,0.0008218
20,3602.63,2.05332,1.55585,0.91643,0.80651,0.6511,0.7322,0.33824,1.99957,1.47781,0.94271,0.0008119,0.0008119,0.0008119
21,3780.43,2.01955,1.48654,0.91194,0.80697,0.66814,0.72884,0.31608,2.04379,1.52924,0.95334,0.000802,0.000802,0.000802
22,3957.32,1.99282,1.4646,0.90775,0.85539,0.67355,0.74474,0.35139,1.97781,1.42942,0.94,0.0007921,0.0007921,0.0007921
23,4133.59,2.00645,1.43048,0.90597,0.77796,0.66991,0.74706,0.33375,2.01714,1.50085,0.95319,0.0007822,0.0007822,0.0007822
24,4313.6,2.00632,1.39045,0.90915,0.86801,0.65701,0.76912,0.31107,2.09553,1.40986,0.95903,0.0007723,0.0007723,0.0007723
25,4492.89,1.96858,1.34839,0.9039,0.82993,0.64852,0.7361,0.27465,2.20347,1.44472,0.9818,0.0007624,0.0007624,0.0007624
26,4669.16,1.96265,1.32876,0.90717,0.85113,0.7208,0.78271,0.36525,1.93455,1.31916,0.93507,0.0007525,0.0007525,0.0007525
27,4847.74,1.91956,1.2987,0.89611,0.81877,0.66097,0.77958,0.35038,1.96288,1.35042,0.93702,0.0007426,0.0007426,0.0007426
28,5026.19,1.92929,1.29484,0.8851,0.83887,0.67554,0.7543,0.33916,2.0214,1.31198,0.94652,0.0007327,0.0007327,0.0007327
29,5204.5,1.92285,1.26065,0.8843,0.86581,0.71141,0.78236,0.35915,1.97072,1.25876,0.93462,0.0007228,0.0007228,0.0007228
30,5376.7,1.93428,1.24411,0.89852,0.91617,0.70016,0.79387,0.36629,1.92391,1.25075,0.9283,0.0007129,0.0007129,0.0007129
31,5550.53,1.90966,1.22774,0.89465,0.87133,0.69309,0.77571,0.34256,1.9951,1.31909,0.95097,0.000703,0.000703,0.000703
32,5741.92,1.91939,1.23639,0.89972,0.85527,0.71774,0.79541,0.36796,1.96995,1.31642,0.93987,0.0006931,0.0006931,0.0006931
33,5914.79,1.91606,1.20983,0.88215,0.86924,0.70734,0.7937,0.35884,1.97761,1.20961,0.93768,0.0006832,0.0006832,0.0006832
34,6089.26,1.90515,1.18184,0.88482,0.82204,0.73105,0.79658,0.36358,1.94636,1.23785,0.93908,0.0006733,0.0006733,0.0006733
35,6271,1.8632,1.17983,0.882,0.9234,0.73731,0.81788,0.39499,1.88379,1.16153,0.91561,0.0006634,0.0006634,0.0006634
36,6487.85,1.87802,1.168,0.87518,0.91042,0.75384,0.82609,0.39617,1.89317,1.16008,0.92262,0.0006535,0.0006535,0.0006535
37,6693.91,1.83882,1.12975,0.87433,0.86027,0.75241,0.83103,0.39993,1.88975,1.15167,0.92186,0.0006436,0.0006436,0.0006436
38,6902.32,1.87253,1.14206,0.87837,0.91753,0.7466,0.83133,0.39519,1.87942,1.10235,0.91922,0.0006337,0.0006337,0.0006337
39,7113.03,1.8156,1.11747,0.88033,0.88668,0.7401,0.82236,0.37593,1.94396,1.14822,0.93074,0.0006238,0.0006238,0.0006238
40,7320.51,1.8485,1.10986,0.86751,0.91539,0.76504,0.85141,0.39216,1.92759,1.1576,0.92476,0.0006139,0.0006139,0.0006139
41,7530.43,1.83012,1.09335,0.86906,0.91296,0.75695,0.82772,0.40332,1.85418,1.09205,0.91414,0.000604,0.000604,0.000604
42,7720.44,1.86457,1.11115,0.86605,0.93491,0.74362,0.84042,0.39979,1.86278,1.12547,0.91759,0.0005941,0.0005941,0.0005941
43,7906.3,1.82391,1.07403,0.86416,0.91612,0.73375,0.81938,0.38164,1.90197,1.16865,0.92085,0.0005842,0.0005842,0.0005842
44,8089.1,1.80357,1.05278,0.8649,0.89158,0.75258,0.82646,0.39353,1.87761,1.09935,0.91456,0.0005743,0.0005743,0.0005743
45,8272.36,1.76854,1.02822,0.86841,0.90453,0.76022,0.834,0.40539,1.8464,1.07379,0.90784,0.0005644,0.0005644,0.0005644
46,8452.75,1.78148,1.04869,0.86923,0.87176,0.76924,0.85097,0.41779,1.82659,1.14582,0.90561,0.0005545,0.0005545,0.0005545
47,8632.62,1.80185,1.04385,0.86691,0.88186,0.79521,0.85025,0.4074,1.85034,1.07371,0.90999,0.0005446,0.0005446,0.0005446
48,8820.85,1.78917,1.03924,0.86687,0.9085,0.75336,0.84375,0.40518,1.85037,1.07418,0.90758,0.0005347,0.0005347,0.0005347
49,9005.15,1.78398,1.04484,0.86565,0.92616,0.75533,0.8427,0.41133,1.82981,1.05321,0.90397,0.0005248,0.0005248,0.0005248
50,9192.34,1.74696,1.0092,0.8711,0.86435,0.78244,0.85378,0.40906,1.85116,1.11724,0.90935,0.0005149,0.0005149,0.0005149
51,9380.28,1.75367,1.00112,0.86204,0.85879,0.78816,0.85435,0.42406,1.8361,1.05201,0.9096,0.000505,0.000505,0.000505
52,9559.44,1.74268,1.00905,0.8605,0.82737,0.78999,0.83583,0.40397,1.8744,1.04833,0.91087,0.0004951,0.0004951,0.0004951
53,9744.16,1.77049,1.00928,0.8573,0.95472,0.75914,0.85812,0.42012,1.842,1.02723,0.90428,0.0004852,0.0004852,0.0004852
54,9930.63,1.75418,0.97511,0.85889,0.88692,0.81344,0.8775,0.429,1.84638,0.9911,0.90508,0.0004753,0.0004753,0.0004753
55,10110.8,1.75233,0.9824,0.85978,0.94948,0.77142,0.87032,0.42643,1.83989,0.99878,0.90612,0.0004654,0.0004654,0.0004654
56,10290,1.73664,0.9766,0.86507,0.9057,0.79851,0.85903,0.41977,1.84158,1.02306,0.90588,0.0004555,0.0004555,0.0004555
57,10469.1,1.70215,0.96363,0.86275,0.92499,0.79727,0.8638,0.42221,1.84427,1.01297,0.9019,0.0004456,0.0004456,0.0004456
58,10647.2,1.71663,0.94656,0.8531,0.90873,0.77317,0.84674,0.42854,1.82467,1.01433,0.89889,0.0004357,0.0004357,0.0004357
59,10832.6,1.71055,0.95803,0.85257,0.93473,0.77546,0.85508,0.41905,1.84246,1.04892,0.89865,0.0004258,0.0004258,0.0004258
60,11012.7,1.68215,0.95158,0.84077,0.90958,0.79518,0.85205,0.41439,1.88324,1.05559,0.91191,0.0004159,0.0004159,0.0004159
61,11192.9,1.70019,0.94613,0.84467,0.92879,0.76546,0.85453,0.42724,1.83065,1.02149,0.89876,0.000406,0.000406,0.000406
62,11374.1,1.69668,0.94001,0.8592,0.87752,0.79771,0.85726,0.42652,1.83227,1.03636,0.9022,0.0003961,0.0003961,0.0003961
63,11553.6,1.68967,0.93805,0.85575,0.93664,0.78498,0.86248,0.42973,1.83759,0.99672,0.90461,0.0003862,0.0003862,0.0003862
64,11732.5,1.6648,0.90668,0.85064,0.93854,0.77361,0.85726,0.42099,1.80242,1.03032,0.89992,0.0003763,0.0003763,0.0003763
65,11911.7,1.68067,0.94305,0.84431,0.92861,0.80149,0.8629,0.42769,1.79897,0.99784,0.89686,0.0003664,0.0003664,0.0003664
66,12091.2,1.68738,0.91944,0.84331,0.89998,0.80912,0.85846,0.4238,1.80175,1.00033,0.89246,0.0003565,0.0003565,0.0003565
67,12274.3,1.64896,0.93242,0.84043,0.90667,0.82343,0.86075,0.42951,1.78597,0.98283,0.8961,0.0003466,0.0003466,0.0003466
68,12453.1,1.65523,0.91721,0.8449,0.93246,0.79106,0.86528,0.42582,1.84622,1.01433,0.9004,0.0003367,0.0003367,0.0003367
69,12632.6,1.68524,0.92547,0.83681,0.94013,0.80833,0.87497,0.44244,1.78277,0.96835,0.89448,0.0003268,0.0003268,0.0003268
70,12815.6,1.63135,0.88829,0.83874,0.90173,0.83617,0.87051,0.43835,1.79487,0.97006,0.89596,0.0003169,0.0003169,0.0003169
71,12997.9,1.63862,0.88668,0.84275,0.91686,0.82005,0.87921,0.43801,1.80812,0.95834,0.89778,0.000307,0.000307,0.000307
72,13180.2,1.65417,0.88175,0.84051,0.91475,0.7964,0.86316,0.41848,1.86467,0.97308,0.90245,0.0002971,0.0002971,0.0002971
73,13361.1,1.63481,0.8878,0.83444,0.92018,0.78531,0.85915,0.41789,1.84037,0.97294,0.90129,0.0002872,0.0002872,0.0002872
74,13545.7,1.60051,0.86286,0.84282,0.90093,0.8247,0.87,0.42176,1.8323,0.97788,0.89926,0.0002773,0.0002773,0.0002773
75,13723.6,1.64587,0.87363,0.83185,0.89581,0.82675,0.8724,0.43875,1.78908,0.94875,0.89069,0.0002674,0.0002674,0.0002674
76,13903.3,1.5947,0.83686,0.83619,0.9074,0.80491,0.86767,0.44577,1.77409,0.94511,0.89197,0.0002575,0.0002575,0.0002575
77,14086.1,1.58356,0.8459,0.84024,0.9199,0.81455,0.872,0.4489,1.78673,0.91701,0.89148,0.0002476,0.0002476,0.0002476
