epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.948,4.5806,9.71484,2.16475,0,0,0,0,4.21961,10.2297,2.09739,0.000291667,0.000291667,0.000291667
2,283.037,3.83616,7.16941,1.55045,0,0,0,0,4.13681,10.5319,1.87699,0.00058375,0.00058375,0.00058375
3,441.702,3.56531,6.17636,1.29771,0,0,0,0,3.52205,7.14489,1.36387,0.000831833,0.000831833,0.000831833
4,590.363,3.50851,5.86818,1.26438,0,0,0,0,3.2468,6.35449,1.30646,0.000802,0.000802,0.000802
5,708.179,3.24056,5.43804,1.21659,0,0,0,0,3.3134,6.32249,1.31851,0.000736,0.000736,0.000736
6,825.049,2.99903,5.58273,1.16713,0,0,0,0,3.19202,5.95988,1.28047,0.00067,0.00067,0.00067
7,944.648,2.88665,5.2845,1.14133,0,0,0,0,3.15655,5.73767,1.28303,0.000604,0.000604,0.000604
8,1066.57,2.74487,5.06529,1.12673,6e-05,0.00794,1e-05,1e-05,3.0084,5.5569,1.22579,0.000538,0.000538,0.000538
9,1188.54,2.61593,4.78961,1.0978,0.00019,0.02381,0.00794,0.00272,2.91574,5.45123,1.1995,0.000472,0.000472,0.000472
10,1323.04,2.83985,4.86198,1.1338,0.0008,0.09148,0.02836,0.00923,2.82022,5.28787,1.1765,0.000406,0.000406,0.000406
11,1450.36,2.80072,4.71385,1.09546,0.0026,0.13855,0.05716,0.02289,2.7445,5.11035,1.15739,0.00034,0.00034,0.00034
12,1581.75,2.5791,4.36432,1.11465,1,0.01268,0.07341,0.02586,2.71041,4.94997,1.13862,0.000274,0.000274,0.000274
13,1702.28,2.67124,4.3916,1.09456,0.84089,0.01479,0.07729,0.02822,2.70722,4.81394,1.13249,0.000208,0.000208,0.000208
14,1832.7,2.55421,4.14318,1.09266,0.86785,0.02271,0.09756,0.03197,2.71263,4.67063,1.12963,0.000142,0.000142,0.000142
15,1998.17,2.52997,4.05216,1.06098,0.50833,0.02312,0.10745,0.03617,2.73119,4.56147,1.12851,7.6e-05,7.6e-05,7.6e-05
