epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.054,3.84422,7.37256,1.69817,0,0,0,0,3.12168,6.0914,1.21355,0.000322581,0.000322581,0.000322581
2,345.947,3.00618,4.99189,1.19275,0.00037,0.01153,0.00375,0.0012,2.76977,5.30235,1.16455,0.00064942,0.00064942,0.00064942
3,522.409,2.74039,4.0184,1.09601,0.40623,0.05749,0.10541,0.03887,2.73598,4.25283,1.15981,0.00096966,0.00096966,0.00096966
4,693.884,2.65365,3.49428,1.03387,0.24888,0.24304,0.16899,0.05666,3.02801,3.76398,1.30603,0.0009703,0.0009703,0.0009703
5,863.136,2.53049,3.1208,1.00505,0.39655,0.29025,0.266,0.09763,2.86516,3.16908,1.23469,0.0009604,0.0009604,0.0009604
6,1030.43,2.48011,2.86677,1.00026,0.45564,0.38959,0.37984,0.16281,2.1837,2.85868,0.99633,0.0009505,0.0009505,0.0009505
7,1196.6,2.47312,2.72894,0.99881,0.55881,0.42426,0.43046,0.18815,2.23704,2.49792,1.02035,0.0009406,0.0009406,0.0009406
8,1362.46,2.32946,2.49808,0.96746,0.59557,0.45143,0.47756,0.21586,2.1127,2.38591,0.98108,0.0009307,0.0009307,0.0009307
9,1529.39,2.22513,2.33068,0.95407,0.62961,0.52467,0.53401,0.24266,2.07368,2.2409,0.97088,0.0009208,0.0009208,0.0009208
10,1693.14,2.23604,2.16082,0.94453,0.69519,0.4987,0.56892,0.27584,2.01517,2.16624,0.95185,0.0009109,0.0009109,0.0009109
11,1858.94,2.15472,2.01904,0.93069,0.65935,0.53368,0.59882,0.27203,2.05286,1.98898,0.96099,0.000901,0.000901,0.000901
12,2022.63,2.17088,1.93605,0.93108,0.72229,0.54929,0.63472,0.29306,2.01126,1.91685,0.96467,0.0008911,0.0008911,0.0008911
13,2184.79,2.16719,1.88368,0.92564,0.8036,0.60015,0.67301,0.30195,2.01523,1.7194,0.95255,0.0008812,0.0008812,0.0008812
14,2346.96,2.11188,1.80031,0.93049,0.71556,0.59973,0.64086,0.28738,2.03949,1.77661,0.95003,0.0008713,0.0008713,0.0008713
15,2510.07,2.0936,1.7326,0.91986,0.7568,0.59703,0.6855,0.32561,1.94937,1.71331,0.94052,0.0008614,0.0008614,0.0008614
16,2674.91,2.121,1.67084,0.91421,0.79946,0.61143,0.71193,0.34304,1.94765,1.51021,0.938,0.0008515,0.0008515,0.0008515
17,2843.15,2.05497,1.57433,0.90758,0.79493,0.63202,0.73487,0.33852,2.00037,1.58786,0.93808,0.0008416,0.0008416,0.0008416
18,3008.66,2.05706,1.5654,0.89926,0.80564,0.63116,0.71547,0.33334,1.98885,1.58575,0.9399,0.0008317,0.0008317,0.0008317
19,3172.92,2.03737,1.50831,0.90602,0.83352,0.64191,0.73211,0.32223,2.05011,1.53919,0.93845,0.0008218,0.0008218,0.0008218
20,3344.03,2.0081,1.46167,0.90246,0.78515,0.71009,0.75848,0.37406,1.9124,1.41093,0.93218,0.0008119,0.0008119,0.0008119
21,3512.04,1.99269,1.42452,0.89689,0.85136,0.66405,0.73932,0.34265,1.97558,1.49045,0.93666,0.000802,0.000802,0.000802
22,3674.19,1.97164,1.36787,0.90313,0.7487,0.64205,0.65483,0.26663,2.16816,1.54591,0.96476,0.0007921,0.0007921,0.0007921
23,3832.38,1.97611,1.38109,0.8997,0.80332,0.68118,0.73937,0.31353,2.02987,1.45912,0.94806,0.0007822,0.0007822,0.0007822
24,3989.86,1.9641,1.36483,0.89801,0.85567,0.70733,0.76881,0.35399,1.91918,1.37797,0.93201,0.0007723,0.0007723,0.0007723
25,4146.85,1.9309,1.29352,0.89702,0.86349,0.6944,0.78893,0.36615,1.91686,1.38936,0.93199,0.0007624,0.0007624,0.0007624
26,4304.27,1.9268,1.30921,0.88635,0.92273,0.68985,0.80363,0.38971,1.87392,1.28458,0.92495,0.0007525,0.0007525,0.0007525
27,4461.6,1.93009,1.27612,0.88081,0.90238,0.67118,0.7731,0.36703,1.94427,1.32976,0.93765,0.0007426,0.0007426,0.0007426
28,4630.43,1.92577,1.25646,0.87981,0.7995,0.71154,0.78886,0.37505,1.86342,1.276,0.91424,0.0007327,0.0007327,0.0007327
29,4791.75,1.86448,1.23026,0.88262,0.94249,0.70292,0.82462,0.40359,1.84655,1.16126,0.9188,0.0007228,0.0007228,0.0007228
30,4955.36,1.90194,1.20347,0.88843,0.84554,0.71243,0.77631,0.33767,2.00498,1.3044,0.94195,0.0007129,0.0007129,0.0007129
31,5111.62,1.89687,1.17991,0.885,0.86484,0.75431,0.81498,0.39874,1.89706,1.22211,0.91679,0.000703,0.000703,0.000703
32,5269.83,1.87893,1.18205,0.89039,0.85627,0.76427,0.81331,0.38739,1.85361,1.18313,0.9126,0.0006931,0.0006931,0.0006931
33,5428.42,1.8583,1.14439,0.8798,0.87715,0.76159,0.82411,0.41355,1.79899,1.14381,0.90715,0.0006832,0.0006832,0.0006832
34,5586.37,1.87694,1.15227,0.87225,0.90024,0.7416,0.82395,0.40217,1.85451,1.19534,0.91431,0.0006733,0.0006733,0.0006733
35,5743.28,1.85931,1.15398,0.87713,0.90035,0.77122,0.84196,0.40544,1.86649,1.1327,0.91618,0.0006634,0.0006634,0.0006634
36,5898.87,1.85464,1.12622,0.87597,0.88153,0.72804,0.8164,0.35422,1.99284,1.17631,0.93419,0.0006535,0.0006535,0.0006535
37,6054.06,1.8482,1.11552,0.86597,0.9077,0.76844,0.8483,0.41486,1.8168,1.09453,0.90664,0.0006436,0.0006436,0.0006436
38,6210.76,1.81241,1.09122,0.8632,0.90751,0.77481,0.84363,0.41363,1.80836,1.08687,0.90434,0.0006337,0.0006337,0.0006337
39,6366.02,1.83448,1.09154,0.86752,0.95745,0.75797,0.86119,0.42298,1.80984,1.0591,0.90496,0.0006238,0.0006238,0.0006238
40,6521.22,1.81022,1.086,0.87457,0.92006,0.77405,0.84661,0.41077,1.79758,1.0986,0.90658,0.0006139,0.0006139,0.0006139
41,6676.15,1.81209,1.09423,0.87289,0.90899,0.73791,0.81735,0.36755,1.95759,1.19268,0.92578,0.000604,0.000604,0.000604
42,6831.15,1.75445,1.04624,0.86496,0.90998,0.79803,0.86041,0.42004,1.82718,1.06357,0.90813,0.0005941,0.0005941,0.0005941
43,6987.73,1.83125,1.05726,0.8747,0.93394,0.76321,0.84894,0.40021,1.8262,1.09459,0.90376,0.0005842,0.0005842,0.0005842
44,7142.21,1.80909,1.04512,0.85776,0.90936,0.74987,0.85624,0.42524,1.78574,1.03495,0.90027,0.0005743,0.0005743,0.0005743
45,7298.35,1.79944,1.03074,0.85495,0.92353,0.76525,0.84787,0.39881,1.87959,1.09186,0.91405,0.0005644,0.0005644,0.0005644
46,7454.22,1.7609,1.02483,0.87179,0.91831,0.79439,0.85986,0.42061,1.79762,1.04342,0.90104,0.0005545,0.0005545,0.0005545
47,7610.72,1.76943,0.99953,0.85647,0.92928,0.78857,0.85222,0.4265,1.77732,1.03273,0.89566,0.0005446,0.0005446,0.0005446
48,7771.86,1.74474,0.99084,0.85669,0.91583,0.79616,0.85771,0.41943,1.79475,1.03211,0.90099,0.0005347,0.0005347,0.0005347
49,7946.61,1.76967,1.01476,0.85109,0.88392,0.78036,0.83598,0.41278,1.82341,1.05812,0.90345,0.0005248,0.0005248,0.0005248
50,8119.98,1.75375,0.99327,0.85451,0.91444,0.78741,0.8688,0.41814,1.84091,1.02667,0.9096,0.0005149,0.0005149,0.0005149
51,8287.71,1.76588,0.98223,0.86176,0.89237,0.82865,0.8616,0.42404,1.78713,1.02566,0.8955,0.000505,0.000505,0.000505
52,8457.3,1.73083,0.99329,0.84897,0.94522,0.78405,0.883,0.43681,1.7419,0.99491,0.89069,0.0004951,0.0004951,0.0004951
53,8627.47,1.72625,0.98352,0.84981,0.93373,0.80629,0.87359,0.42334,1.79994,0.97982,0.89728,0.0004852,0.0004852,0.0004852
54,8796.15,1.75109,0.97768,0.84772,0.89618,0.81108,0.8739,0.42397,1.82035,0.98058,0.89734,0.0004753,0.0004753,0.0004753
55,8967.6,1.73881,0.96347,0.84789,0.91963,0.80599,0.87986,0.43814,1.75808,0.96377,0.89308,0.0004654,0.0004654,0.0004654
56,9139.27,1.68176,0.91966,0.84824,0.91651,0.81567,0.87229,0.45291,1.71858,0.95634,0.88682,0.0004555,0.0004555,0.0004555
57,9309.81,1.69305,0.9227,0.83941,0.90822,0.81367,0.87288,0.42584,1.79942,0.96011,0.89568,0.0004456,0.0004456,0.0004456
58,9479.86,1.67533,0.92995,0.84298,0.92379,0.79957,0.87795,0.42539,1.81147,1.01943,0.89799,0.0004357,0.0004357,0.0004357
59,9650.82,1.72701,0.94676,0.83992,0.95706,0.79989,0.87853,0.43744,1.79035,0.96987,0.89468,0.0004258,0.0004258,0.0004258
60,9817.68,1.66241,0.91949,0.84837,0.93932,0.80215,0.87451,0.4276,1.8405,0.9622,0.89987,0.0004159,0.0004159,0.0004159
61,9986.68,1.65474,0.91131,0.83709,0.93519,0.79025,0.86925,0.43262,1.78685,0.9573,0.89123,0.000406,0.000406,0.000406
62,10157.9,1.68963,0.91897,0.8469,0.93084,0.78393,0.8737,0.43797,1.77925,0.94874,0.88868,0.0003961,0.0003961,0.0003961
63,10316.8,1.64766,0.90302,0.84443,0.91302,0.82383,0.87981,0.4463,1.75726,0.95219,0.8889,0.0003862,0.0003862,0.0003862
64,10477,1.66415,0.89418,0.8484,0.95101,0.79207,0.88231,0.44378,1.77143,0.93851,0.89176,0.0003763,0.0003763,0.0003763
65,10635.1,1.64247,0.89581,0.8447,0.95014,0.82291,0.89556,0.45397,1.75814,0.91558,0.89129,0.0003664,0.0003664,0.0003664
66,10794.2,1.60553,0.86537,0.84746,0.91866,0.80715,0.88863,0.44323,1.76362,0.94752,0.88992,0.0003565,0.0003565,0.0003565
67,10953.3,1.62316,0.85942,0.84161,0.93857,0.81578,0.88631,0.44965,1.75743,0.91967,0.88721,0.0003466,0.0003466,0.0003466
68,11112.8,1.68549,0.89208,0.83945,0.91454,0.83114,0.89701,0.45921,1.73393,0.92183,0.88615,0.0003367,0.0003367,0.0003367
69,11272.5,1.64856,0.87207,0.83965,0.92862,0.82827,0.89528,0.44935,1.75458,0.92242,0.88373,0.0003268,0.0003268,0.0003268
70,11432.2,1.62064,0.86896,0.84072,0.92016,0.82202,0.88759,0.45441,1.74052,0.92408,0.88583,0.0003169,0.0003169,0.0003169
71,11593,1.5719,0.84771,0.84596,0.94245,0.80244,0.89407,0.44522,1.76331,0.91981,0.88863,0.000307,0.000307,0.000307
72,11752.3,1.65979,0.88951,0.8413,0.93094,0.82171,0.892,0.45122,1.76041,0.90838,0.88999,0.0002971,0.0002971,0.0002971
73,11910.9,1.59764,0.85772,0.84424,0.90229,0.84679,0.89477,0.45421,1.74052,0.90518,0.88667,0.0002872,0.0002872,0.0002872
74,12070.2,1.58992,0.84752,0.82947,0.92628,0.82233,0.89041,0.45633,1.74734,0.90112,0.88751,0.0002773,0.0002773,0.0002773
75,12230.6,1.60857,0.8391,0.82947,0.92909,0.819,0.88788,0.44788,1.74735,0.88902,0.88714,0.0002674,0.0002674,0.0002674
76,12391.6,1.54892,0.81828,0.82753,0.92421,0.83051,0.88995,0.45459,1.71782,0.88306,0.88039,0.0002575,0.0002575,0.0002575
77,12572.2,1.58151,0.83372,0.82847,0.89079,0.83905,0.89577,0.45341,1.74722,0.90349,0.88406,0.0002476,0.0002476,0.0002476
78,12743.5,1.55456,0.81412,0.83303,0.94203,0.8189,0.89852,0.45559,1.73439,0.90659,0.88432,0.0002377,0.0002377,0.0002377
79,12914.2,1.57016,0.82685,0.8331,0.93505,0.80884,0.88954,0.45077,1.72611,0.89775,0.88592,0.0002278,0.0002278,0.0002278
80,13081.7,1.53736,0.81299,0.8266,0.9388,0.82222,0.89058,0.45039,1.73374,0.88546,0.88546,0.0002179,0.0002179,0.0002179
81,13258.7,1.55877,0.81805,0.82788,0.93803,0.8199,0.88913,0.45484,1.73409,0.8952,0.88394,0.000208,0.000208,0.000208
82,13443.6,1.58807,0.82994,0.82738,0.91662,0.82909,0.88944,0.45601,1.75192,0.87732,0.88801,0.0001981,0.0001981,0.0001981
83,13613.3,1.54604,0.81012,0.8128,0.90233,0.83968,0.89248,0.4517,1.76632,0.8756,0.88848,0.0001882,0.0001882,0.0001882
84,13779.2,1.50866,0.7924,0.83088,0.93317,0.84216,0.9054,0.4642,1.74713,0.86637,0.88752,0.0001783,0.0001783,0.0001783
85,13945,1.52171,0.78577,0.82668,0.92912,0.84209,0.90204,0.45426,1.74033,0.87551,0.88668,0.0001684,0.0001684,0.0001684
86,14111.6,1.49642,0.76349,0.81782,0.93949,0.81969,0.89397,0.4588,1.73874,0.88176,0.88862,0.0001585,0.0001585,0.0001585
87,14276.7,1.49575,0.77633,0.82805,0.96016,0.80034,0.89579,0.45301,1.76044,0.87738,0.89167,0.0001486,0.0001486,0.0001486
88,14443.3,1.55501,0.80558,0.8169,0.92671,0.8247,0.89813,0.45474,1.74849,0.88412,0.8886,0.0001387,0.0001387,0.0001387
89,14613,1.49851,0.77686,0.82586,0.94029,0.81946,0.89849,0.45483,1.75282,0.8755,0.8889,0.0001288,0.0001288,0.0001288
