epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0651,4.27929,10.295,2.10079,0,0,0,0,3.86627,8.82062,1.8163,0.000291667,0.000291667,0.000291667
2,87.6463,3.78054,6.96573,1.53618,0,0,0,0,3.91816,7.79248,1.54317,0.00058375,0.00058375,0.00058375
3,129.035,3.5893,6.15915,1.36021,0,0,0,0,3.64228,7.36258,1.40455,0.000831833,0.000831833,0.000831833
4,170.174,3.34914,5.6758,1.19459,0,0,0,0,3.53564,6.8276,1.30186,0.000802,0.000802,0.000802
5,210.525,3.17271,5.29695,1.16803,0,0,0,0,3.25447,6.72188,1.34905,0.000736,0.000736,0.000736
6,251.41,3.01686,5.45381,1.17352,0,0,0,0,3.30544,6.54031,1.37002,0.00067,0.00067,0.00067
7,292.618,3.0003,5.34845,1.17832,0,0,0,0,3.27818,5.94597,1.33525,0.000604,0.000604,0.000604
8,333.644,2.90647,5.03117,1.14847,0,0,0,0,2.93343,5.46527,1.21354,0.000538,0.000538,0.000538
9,375.012,2.67023,4.72124,1.14118,0.00078,0.05654,0.0228,0.00852,2.69262,5.2806,1.13929,0.000472,0.000472,0.000472
10,414.896,2.67087,4.58084,1.08842,0.00284,0.15402,0.04498,0.01587,2.54544,5.01828,1.10891,0.000406,0.000406,0.000406
11,454.295,2.55193,4.31655,1.09973,0.00949,0.29182,0.08832,0.0326,2.59498,4.74459,1.11657,0.00034,0.00034,0.00034
12,493.401,2.65148,4.25467,1.08392,0.01196,0.36026,0.08456,0.03558,2.57205,4.51593,1.12646,0.000274,0.000274,0.000274
13,533.117,2.54184,4.05191,1.08683,0.30713,0.09726,0.10102,0.0403,2.55648,4.37738,1.12368,0.000208,0.000208,0.000208
14,572.73,2.48748,4.00674,1.0651,0.54772,0.07826,0.11599,0.04819,2.56553,4.29339,1.11854,0.000142,0.000142,0.000142
15,612.518,2.43256,3.93536,1.05859,0.37518,0.0911,0.12815,0.05476,2.57338,4.23641,1.11284,7.6e-05,7.6e-05,7.6e-05
