epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.225,2.6744,4.11689,1.02603,0,0,0,0,2.47736,5.15595,0.94486,0.000322581,0.000322581,0.000322581
2,622.783,2.28537,2.92623,0.94672,0.00687,0.39004,0.04316,0.01461,2.04969,4.13506,0.94149,0.00064942,0.00064942,0.00064942
3,918.357,2.18936,2.61776,0.93089,0.59781,0.12561,0.28878,0.10247,2.1277,3.13481,0.94411,0.00096966,0.00096966,0.00096966
4,1179.75,2.08147,2.42093,0.91747,0.35041,0.42671,0.38856,0.16471,1.97876,2.5235,0.93064,0.0009703,0.0009703,0.0009703
5,1417.85,2.09849,2.27287,0.88966,0.31982,0.42113,0.34556,0.139,2.11351,2.32868,0.97741,0.0009604,0.0009604,0.0009604
6,1667.8,2.06827,2.17309,0.90432,0.33092,0.64986,0.43061,0.18507,1.94124,2.0391,0.92588,0.0009505,0.0009505,0.0009505
7,1915.54,2.01492,2.02274,0.88826,0.35003,0.64504,0.43391,0.18346,2.02322,1.94046,0.95947,0.0009406,0.0009406,0.0009406
8,2139.94,2.04346,2.04049,0.90415,0.3496,0.63303,0.4408,0.18715,1.97138,1.85671,0.92526,0.0009307,0.0009307,0.0009307
9,2394.15,1.98313,2.00192,0.88551,0.23968,0.5614,0.28677,0.11804,2.05426,2.3544,0.94997,0.0009208,0.0009208,0.0009208
10,2642.22,2.03302,1.95839,0.89586,0.24811,0.60158,0.29745,0.10171,2.2513,2.21301,0.96951,0.0009109,0.0009109,0.0009109
11,2882.32,1.97857,1.84889,0.87709,0.28802,0.53515,0.37789,0.15656,2.02684,1.89451,0.93413,0.000901,0.000901,0.000901
12,3112.62,2.01177,1.87227,0.89307,0.28851,0.61722,0.36774,0.14213,2.03,1.92414,0.92921,0.0008911,0.0008911,0.0008911
13,3367.18,2.00353,1.83882,0.88491,0.35689,0.66702,0.48306,0.21288,1.93461,1.61608,0.93369,0.0008812,0.0008812,0.0008812
14,251.293,1.99683,1.79502,0.88377,0.36325,0.63607,0.50245,0.21844,1.92936,1.59328,0.93221,0.0008713,0.0008713,0.0008713
