epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.364,3.82117,7.27412,1.72164,0,0,0,0,3.45751,6.35644,1.27961,0.000322581,0.000322581,0.000322581
2,332.033,3.12275,5.10604,1.19679,0.00062,0.02317,0.00184,0.00086,2.92474,5.28516,1.20348,0.00064942,0.00064942,0.00064942
3,496.313,2.85505,4.23797,1.12281,0.28928,0.06953,0.06834,0.02176,2.8257,4.53714,1.19415,0.00096966,0.00096966,0.00096966
4,661.197,2.70567,3.78021,1.06661,0.33824,0.2722,0.2056,0.06971,2.72021,3.86841,1.13608,0.0009703,0.0009703,0.0009703
5,826.348,2.5592,3.36318,1.04554,0.35844,0.34887,0.26715,0.09995,2.58047,3.45552,1.07944,0.0009604,0.0009604,0.0009604
6,990.911,2.49839,3.04843,1.00999,0.42373,0.27828,0.30732,0.1209,2.6207,3.13873,1.11726,0.0009505,0.0009505,0.0009505
7,1155.58,2.40126,2.78226,0.9938,0.6578,0.35142,0.43455,0.20293,2.21205,2.76508,0.98935,0.0009406,0.0009406,0.0009406
8,1319.51,2.38214,2.59856,0.99008,0.64069,0.36544,0.42805,0.18752,2.20406,2.75677,0.98414,0.0009307,0.0009307,0.0009307
9,1483.86,2.37162,2.49238,0.96749,0.59222,0.44072,0.47535,0.21846,2.16888,2.52303,0.98426,0.0009208,0.0009208,0.0009208
10,1647.87,2.30109,2.33011,0.97733,0.66789,0.45439,0.50929,0.23107,2.15455,2.3499,0.99152,0.0009109,0.0009109,0.0009109
11,1811.04,2.22192,2.18022,0.95844,0.68701,0.5196,0.5591,0.25104,2.13898,2.14265,0.98138,0.000901,0.000901,0.000901
12,1975.58,2.20108,2.0733,0.94665,0.67229,0.5677,0.59137,0.24432,2.2443,2.05009,1.00328,0.0008911,0.0008911,0.0008911
13,2136.39,2.17933,1.95557,0.93481,0.77404,0.56714,0.63441,0.28991,2.08971,1.86857,0.97369,0.0008812,0.0008812,0.0008812
14,2296.97,2.20721,1.94617,0.93085,0.73393,0.54802,0.62893,0.26517,2.10633,1.93652,0.96697,0.0008713,0.0008713,0.0008713
15,2459.31,2.15715,1.83674,0.92922,0.80401,0.61703,0.6964,0.31763,2.02744,1.73386,0.95053,0.0008614,0.0008614,0.0008614
16,2620.45,2.14936,1.78812,0.93625,0.79717,0.57175,0.64368,0.27935,2.1172,1.83619,0.96444,0.0008515,0.0008515,0.0008515
17,2783.11,2.2008,1.77791,0.92999,0.75131,0.54446,0.63169,0.23729,2.13742,1.8533,0.9695,0.0008416,0.0008416,0.0008416
18,2947.82,2.18825,1.76338,0.94506,0.80607,0.63659,0.6897,0.31451,1.9899,1.64779,0.94611,0.0008317,0.0008317,0.0008317
19,3112.33,2.06513,1.67643,0.93035,0.89056,0.65206,0.73763,0.34841,1.96954,1.49215,0.93983,0.0008218,0.0008218,0.0008218
20,3276.96,2.0896,1.65533,0.91344,0.85425,0.61612,0.72302,0.32158,2.00078,1.52797,0.94867,0.0008119,0.0008119,0.0008119
21,3438.91,2.06405,1.6121,0.90845,0.91314,0.65589,0.7456,0.33652,1.9638,1.59036,0.93917,0.000802,0.000802,0.000802
22,3602.12,2.04129,1.51944,0.91379,0.85535,0.63697,0.73139,0.34351,1.97646,1.56145,0.94053,0.0007921,0.0007921,0.0007921
23,3767.4,2.03619,1.50625,0.90474,0.85821,0.67304,0.7542,0.35225,1.91959,1.41235,0.9294,0.0007822,0.0007822,0.0007822
24,3932.33,2.03808,1.48646,0.9119,0.85538,0.65878,0.73991,0.33904,2.00776,1.45504,0.94367,0.0007723,0.0007723,0.0007723
25,4096.95,1.99004,1.43518,0.90042,0.84015,0.647,0.73945,0.32774,1.96957,1.46099,0.93645,0.0007624,0.0007624,0.0007624
26,4260.94,1.98489,1.40413,0.89184,0.84407,0.67575,0.7572,0.36207,1.96832,1.39547,0.9343,0.0007525,0.0007525,0.0007525
27,4424.82,1.97729,1.39268,0.89609,0.86908,0.65542,0.73489,0.34691,1.95396,1.39501,0.93238,0.0007426,0.0007426,0.0007426
28,4588.75,2.0068,1.39858,0.89594,0.8365,0.69876,0.76994,0.36084,1.89925,1.29647,0.91788,0.0007327,0.0007327,0.0007327
29,4753.54,1.96449,1.37728,0.89614,0.89539,0.66812,0.7734,0.34841,1.94511,1.34529,0.93063,0.0007228,0.0007228,0.0007228
