epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.0479,4.85831,10.3307,2.25724,0,0,0,0,4.23681,9.36786,2.01951,0.000291667,0.000291667,0.000291667
2,156.6,3.72515,6.96075,1.52177,0,0,0,0,3.7151,7.55238,1.45386,0.00058375,0.00058375,0.00058375
3,230.949,3.57577,6.24569,1.37655,0,0,0,0,3.46711,6.94908,1.41933,0.000831833,0.000831833,0.000831833
4,293.267,3.65844,5.89207,1.25894,0,0,0,0,3.36856,6.7054,1.40621,0.000802,0.000802,0.000802
5,356.665,3.44736,5.46645,1.19477,0,0,0,0,3.13248,6.36894,1.32577,0.000736,0.000736,0.000736
6,420.31,3.04897,5.53145,1.21708,0,0,0,0,3.20355,5.9758,1.32497,0.00067,0.00067,0.00067
7,483.522,2.94213,5.30112,1.17256,0,0,0,0,3.1182,5.69691,1.29357,0.000604,0.000604,0.000604
8,541.898,2.76242,4.9865,1.15569,6e-05,0.00794,2e-05,1e-05,2.94053,5.48773,1.24238,0.000538,0.000538,0.000538
9,603.577,2.83928,4.94457,1.13832,0.00024,0.03258,0.00937,0.0043,2.81769,5.33275,1.20269,0.000472,0.000472,0.000472
10,666.517,2.61591,4.54845,1.14076,0.00417,0.1066,0.02878,0.01261,2.73294,5.16151,1.17753,0.000406,0.000406,0.000406
11,722.903,2.69597,4.60109,1.1009,0.00773,0.21473,0.05134,0.01997,2.69911,5.01592,1.15335,0.00034,0.00034,0.00034
12,781.091,2.65047,4.46227,1.12154,0.0973,0.10655,0.06538,0.02519,2.70522,4.87507,1.1668,0.000274,0.000274,0.000274
13,838.688,2.57025,4.23816,1.11388,0.72195,0.02076,0.08159,0.03214,2.67676,4.73378,1.16651,0.000208,0.000208,0.000208
14,896.83,2.50742,4.1566,1.10289,0.7206,0.02244,0.09331,0.03513,2.67352,4.63627,1.16186,0.000142,0.000142,0.000142
15,957.269,2.60581,4.20705,1.11179,0.42129,0.03189,0.09163,0.03671,2.65374,4.54798,1.14233,7.6e-05,7.6e-05,7.6e-05
